Epoch: 0, F1 Score: 0.7010923642656284
Epoch: 1, F1 Score: 0.8117697228144989
Epoch: 2, F1 Score: 0.8332071231404353
Epoch: 3, F1 Score: 0.8685658247225411
Epoch: 4, F1 Score: 0.8653775457686935
Epoch: 5, F1 Score: 0.8953685182335743
Epoch: 6, F1 Score: 0.8556943543153797
Epoch: 7, F1 Score: 0.8795033453422542
Epoch: 8, F1 Score: 0.8507960752411469
Epoch: 9, F1 Score: 0.8904900783439126
Epoch: 10, F1 Score: 0.8992794647452393
Epoch: 11, F1 Score: 0.8815213167099057
Epoch: 12, F1 Score: 0.8886778337250822
Epoch: 13, F1 Score: 0.8815213167099057
Epoch: 14, F1 Score: 0.8904900783439126
